Year,Section,Statement,Measure,1,2,3,4,5
2016,Living well,Everyone in Devon can have the healthiest life possible for them,Percentage,3.1%,9.4%,31.9%,36.5%,19.1%
2016,Living well,Everyone in Devon can have the healthiest life possible for them,Count,40,119,405,464,243
2016,Living well,People can lead active lives and get the most out of life,Percentage,1.2%,5.1%,17.9%,40.5%,35.2%
2016,Living well,People can lead active lives and get the most out of life,Count,15,66,230,520,452
2016,Living well,Good information and advice is available to help people live their lives well,Percentage,2.4%,12.7%,36.7%,36.1%,12.1%
2016,Living well,Good information and advice is available to help people live their lives well,Count,30,160,462,455,152
2016,Living well,Children and young people get the support they need for a good start in life,Percentage,6.2%,18.0%,41.1%,27.6%,7.1%
2016,Living well,Children and young people get the support they need for a good start in life,Count,72,209,477,321,82
2016,Living well,People have access to health and social care services when they need them,Percentage,9.8%,23.7%,32.2%,25.9%,8.4%
2016,Living well,People have access to health and social care services when they need them,Count,123,299,405,326,106
2016,Living well,Early help and support is available for vulnerable people and families who need it most,Percentage,13.0%,25.0%,39.0%,18.4%,4.7%
2016,Living well,Early help and support is available for vulnerable people and families who need it most,Count,144,277,432,204,52
2016,Grow and prosper,Devon is a place where people and communities can do well,Percentage,1.5%,7.3%,25.9%,42.1%,23.2%
2016,Grow and prosper,Devon is a place where people and communities can do well,Count,19,93,331,538,296
2016,Grow and prosper,There are good job opportunities,Percentage,13.8%,29.4%,35.8%,16.2%,4.8%
2016,Grow and prosper,There are good job opportunities,Count,173,368,449,203,60
2016,Grow and prosper,Enterprise is encouraged and businesses are helped to succeed,Percentage,7.2%,20.2%,45.1%,23.1%,4.5%
2016,Grow and prosper,Enterprise is encouraged and businesses are helped to succeed,Count,83,234,523,268,52
2016,Grow and prosper,There is good investment in transport and other infrastructure to help Devon be well connected,Percentage,30.5%,29.3%,23.8%,12.4%,3.9%
2016,Grow and prosper,There is good investment in transport and other infrastructure to help Devon be well connected,Count,388,373,303,158,49
2016,Grow and prosper,People can get the right training and skills,Percentage,6.4%,23.3%,44.0%,22.5%,3.7%
2016,Grow and prosper,People can get the right training and skills,Count,76,275,519,266,44
2016,Grow and prosper,Young people have the opportunities they need to learn and fulfil their potential,Percentage,9.7%,22.9%,38.5%,23.5%,5.4%
2016,Grow and prosper,Young people have the opportunities they need to learn and fulfil their potential,Count,115,271,456,278,64
2016,Caring,People in Devon have care and respect for each other,Percentage,3.1%,7.5%,29.7%,46.9%,12.9%
2016,Caring,People in Devon have care and respect for each other,Count,39,95,378,598,164
