Year,Category,Question,Mean score
2016,Environment,People have good access to the countryside and open spaces,4.3
2016,Living Well,People can lead active lives and get the most out of life,4.0
2016,Community resilience,People have opportunities to contribute to community life if they choose,3.9
2016,Grow and prosper,Devon is a place where people and communities can do well,3.8
2016,People and communities,People feel safe and well protected,3.7
2016,Environment,People care about their local environment,3.7
2016,Living Well,Everyone in Devon can have the healthiest life possible for them,3.6
2016,Caring,People in Devon have care and respect for each other,3.6
2016,People and communities,People have choices in the way they live their day-to-day lives,3.6
2016,Community resilience,People feel a part of their local community,3.6
2016,People and communities,People have the opportunity to continue to learn and grow throughout their lives,3.5
2016,People and communities,People come together to support each other in their community,3.5
2016,Community resilience,People are active in helping to shape community life,3.5
2016,Living Well,Good information and advice is available to help people live their lives well,3.4
2016,To what extent should Devon prioritise?,Looking after the local environment,3.4
2016,Environment,Waste is well managed and dealt with in the best possible manner,3.3
2016,People and communities,Everyone has the opportunity to fulfil their potential,3.2
2016,People and communities,People can get involved in decisions affecting their local area,3.2
2016,To what extent should Devon prioritise?,Planning for emergencies such as flooding,3.2
2016,To what extent should Devon prioritise?,Helping people stay healthy with a good quality of life,3.2
2016,To what extent should Devon prioritise?,Managing and running community spaces and facilities,3.2
2016,Living Well,Children and young people get the support they need for a good start in life,3.1
2016,Environment,People can travel to the places they need to go,3.1
2016,Living Well,People have access to health and social care services when they need them,3.0
2016,Grow and prosper,Enterprise is encouraged and businesses are helped to succeed,3.0
2016,Environment,Our natural resources are used well with an eye on the future,3.0
2016,To what extent should Devon prioritise?,Helping older and vulnerable people to stay in their own homes,3.0
2016,Grow and prosper,People can get the right training and skills,2.9
2016,Grow and prosper,Young people have the opportunities they need to learn and fulfil their potential,2.9
2016,Caring,Families with children get all the support they need,2.9
2016,Caring,"Devon is a good place for older and vulnerable people to stay independent in their
own homes",2.9
2016,Caring,"Good information is available to help people make choices about their future care and
support",2.9
2016,To what extent should Devon prioritise?,Looking out for vulnerable families and children at risk,2.9
2016,Living Well,"Early help and support is available for vulnerable people and families who need it
most",2.8
2016,Caring,The most vulnerable people are well protected and supported,2.8
2016,Caring,"People in Devon can grow old knowing help and support will be there when it’s
needed",2.8
2016,Environment,There is the right balance between development and protecting the environment,2.8
2016,Grow and prosper,There are good job opportunities,2.7
2016,To what extent should Devon prioritise?,Providing young people with places to meet and things to do,2.6
2016,Grow and prosper,"There is good investment in transport and other infrastructure to help Devon be well
connected",2.3
2016,People and communities,People can get good quality and affordable homes,2.1
